CODE_PARAMETRE;NOM_PARAMETRE;STATUT_PARAMETRE;NOM_PARAMETRE_COURT;NOM_PARAMETRE_LONG;CLASSE_1;CLASSE_2;CLASSE_3;CLASSE_4;USAGE_1;USAGE_2;USAGE_3;USAGE_4;REGLEMENT_1;REGLEMENT_2;REGLEMENT_3;REGLEMENT_4;PARAMETRE_ADES;CODE_UNITE_ADES;LIBELLE_UNITE_ADES
0;Phenazine;Gelé;Phenazine;Phenazine;;;;;;;;;;;;;oui;133;microgramme par litre
1021;Matières organiques dissoutes (M.O.D.);Validé;MOD;Matières org. dissoutes;Paramètres classés par classe;Chimique;Indices globaux (AOX, DCO,…);;;;;;;;;;oui;1;absorbance par mètre
1028;Polychlorobiphényles Chlophen;Validé;PCBChlop;PCB Chlophen;Paramètres classés par classe;Chimique;Micropolluants organiques;PCB (arochlors), PCT, Dioxines, Furanes (PCDD, PCDF);;;;;;;;;oui;133;microgramme par litre
1029;Test algue;Validé;Test algue;Test algue;Paramètres classés par classe;Biologique;Microbiologique;;Paramètres classés par usage;Ecotox;;;;;;;oui;243;pourcentage
1030;Strontium 90;Validé;Sr 90;Strontium 90;Paramètres classés par classe;Chimique;Radioactifs, isotopes et traceurs;;;;;;;;;;oui;9;Becquerel par litre
1031;Césium 137;Validé;Césium 137;Césium 137;Paramètres classés par classe;Chimique;Radioactifs, isotopes et traceurs;;;;;;;;;;oui;9;Becquerel par litre
1032;Polychlorobiphényles totaux;Gelé;PCB totaux;PCB totaux;;;;;;;;;;;;;oui;133;microgramme par litre
1033;Code gelé en 2003 (Activité spécifique du Tritium);Gelé;Code gelé;Code gelé (Activité Trit);;;;;;;;;;;;;oui;9;Becquerel par litre
1034;Activité alpha globale;Validé;Acti.alpha;Activité alpha globale;Paramètres classés par classe;Chimique;Indices globaux (AOX, DCO,…);;;;;;;;;;oui;9;Becquerel par litre
1035;Activité bêta globale;Validé;Acti.bêta;Activité bêta globale;Paramètres classés par classe;Chimique;Indices globaux (AOX, DCO,…);;;;;;;;;;oui;9;Becquerel par litre
1036;Activité bêta due au potassium 40;Validé;Acti.B K40;Activité B due K40;Paramètres classés par classe;Chimique;Indices globaux (AOX, DCO,…);;;;;;;;;;oui;9;Becquerel par litre
1037;METOX;Validé;METOX;METOX;Paramètres classés par classe;Chimique;Metaux et métalloïdes;;;;;;;;;;oui;133;microgramme par litre
1038;Azote oxydé;Validé;N.Oxydé;Azote oxydé;Paramètres classés par classe;Chimique;Paramètres azotés;;;;;;;;;;oui;168;milligramme d'azote par litre
1039;Matières oxydables;Validé;M.O;M.O;Paramètres classés par classe;Chimique;Indices globaux (AOX, DCO,…);;;;;;;;;;oui;162;milligramme par litre
1040;Micro-organismes revivifiables à 20°C;Validé;M.Org.20°;Micro-org. reviv. à 20°C;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;223;nombre pour 10 millilitres
1041;Micro-Organismes revivifiables à 37° C;Validé;M.Org. 37°;Micro-Org. reviv. à 37° C;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;228;nombre par litre
1042;Spores de micro-organismes anaérobies sulfito-réducteurs;Validé;S sulf.réd;Spores sulfito-réducteurs;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;530;Nombre par centimètre cube
1043;Spores de Clostridium sulfito-réducteurs;Validé;C Sulf.réd;Spor. Clostr. sulfito-réd;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;546;millions de cellules par litre
1044;Spores de Clostridium perfringens;Validé;S.Clost.pe;Spor. Clostr. perfringens;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;223;nombre pour 10 millilitres
1045;Clostridium perfringens;Validé;Clostrid.;Clostridium perfringens;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;222;nombre par mL
1046;Pseudomonas aeruginosa;Validé;Pseud.Aer.;Pseudomonas aeruginosa;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;263;unité formant des colonies par millilitre
1047;Legionella spp;Validé;Legionella;Legionella spp;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;263;unité formant des colonies par millilitre
1048;Legionella pneumophila;Validé;Legion. Pn;Legionella pneumophila;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;227;nombre pour 250 millilitres
1049;Staphylocoques pathogènes;Validé;Staph. Pat;Staphylocoques pathogènes;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;226;nombre pour 100 millilitres
1050;Shigella spp;Validé;Shigella;Shigella spp;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;531;Nombre par mètre cube
1051;Vibrio spp;Validé;Vibrio spp;Vibrio spp;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;530;Nombre par centimètre cube
1052;Aeromonas spp;Validé;Aeromo. sp;Aeromonas spp;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;224;nombre pour 20 millilitres
1053;Dénombrement bactérien direct total;Validé;Dénbr. Bac;Dénbr. bact. direct tot.;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;546;millions de cellules par litre
1054;Bifidobacterium spp;Validé;Bifido. sp;Bifidobacterium spp;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;559;unité formant des colonies par deux litres
1055;Actinomycètes;Validé;Actinomyc.;Actinomycètes;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;531;Nombre par mètre cube
1056;Enterovirus;Validé;Enteroviru;Enterovirus;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;559;unité formant des colonies par deux litres
1057;Reovirus;Validé;Reovirus;Reovirus;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;222;nombre par mL
1058;Rotavirus;Validé;Rotavirus;Rotavirus;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;219;nombre par gramme
1059;Bactériophages fécaux;Validé;Bactér. Fé;Bactériophages fécaux;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;391;nombre le plus probable pour 100 ml
1060;Oeufs d'helminthe;Validé;Helminthe;Oeufs d'helminthe;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;530;Nombre par centimètre cube
1061;Amibes;Validé;Amibes;Amibes;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;226;nombre pour 100 millilitres
1062;Amibes thermophiles;Validé;Amib. ther;Amibes thermophiles;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;530;Nombre par centimètre cube
1063;Naegleria spp;Validé;Naeglr. sp;Naegleria spp;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;223;nombre pour 10 millilitres
1064;Giardia spp;Validé;Giardia sp;Giardia spp;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;224;nombre pour 20 millilitres
1065;Cryptosporidium spp;Validé;Crypto. sp;Cryptosporidium spp;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;530;Nombre par centimètre cube
1066;Algues unicellulaires;Validé;Algues uni;Algues unicellulaires;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;228;nombre par litre
1067;Moisissures;Validé;Moisissure;Moisissures;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;531;Nombre par mètre cube
1068;Levures;Validé;Levures;Levures;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;540;unité formant des colonies par cent millilitres
1069;Carbone 13 du Carbone Inorganique Total Dissous (C.I.T.D.);Validé;13 C CITD;Carbone 13;Paramètres classés par classe;Physique;;;;;;;;;;;oui;31;delta pour 1000 Pee Dee Belemnite
1070;Azote 15;Validé;15N/14N;Azote 15;Paramètres classés par classe;Physique;;;;;;;;;;;oui;406;delta pour 1000 AIR
1071;Deutérium de l'eau;Validé;2H(H2O);Deutérium de l'eau;Paramètres classés par classe;Physique;;;;;;;;;;;oui;32;delta pour 1000 Standard Mean Ocean Water
1072;Oxygène 18 de l'eau;Validé;18 O (H2O);Oxygène 18 de l'eau;Paramètres classés par classe;Physique;;;;;;;;;;;oui;32;delta pour 1000 Standard Mean Ocean Water
1073;Soufre 34 des sulfates;Validé;34 S (SO4);Soufre 34 des sulfates;Paramètres classés par classe;Physique;;;;;;;;;;;oui;30;delta pour 1000 Canion Diablo Troïlite
1074;Naegleria thermophiles;Validé;Naegl.ther;Naegleria thermophiles;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;224;nombre pour 20 millilitres
1075;Naegleria pathogènes;Validé;Naegl.path;Naegleria pathogènes;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;224;nombre pour 20 millilitres
1076;Activité gamma globale;Validé;Acti.gamma;Activité gamma globale;Paramètres classés par classe;Chimique;Indices globaux (AOX, DCO,…);;;;;;;;;;oui;9;Becquerel par litre
1077;Datation par le carbone 14;Validé;14 C CITD;Datation Carbone 14;Paramètres classés par classe;Chimique;Radioactifs, isotopes et traceurs;;;;;;;;;;oui;407;pourcent de carbone moderne
1078;Code gelé en 1999 (Tritium de l'eau);Gelé;Code gelé;Code gelé (Tritium eau);;;;;;;;;;;;;oui;9;Becquerel par litre
1082;Benzo(a)anthracène;Validé;B(a)A;Benzo(a)anthracène;Paramètres classés par classe;Chimique;Micropolluants organiques;HAP (Hydrocarbures aromatiques, polycycliques, pyrolytiques et dérivés);;;;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole_Liste_A;oui;133;microgramme par litre
1083;Chlorpyriphos-éthyl;Validé;EtChlorpy;Chlorpyriphos-éthyl;Paramètres classés par classe;Chimique;Micropolluants organiques;Organophosphorés;Paramètres classés par usage;Phytosanitaires;Insecticides;;;;;;oui;133;microgramme par litre
1084;Cyanures libres;Validé;CN LIB;Cyanures libres;Paramètres classés par classe;Chimique;Autres éléments minéraux;;;;;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photograph_Etat_Chimique_Eaux_Sout_Métropole_et_DOM;Par_Analyse_Photograph_Etat_Chimique_Eaux_Sout_Métropole_et_DOM_Liste_A_et_B;oui;380;microgramme de cyanure par litre
1085;Code gelé en 1998 (Dibenz(a,h)anthracène);Gelé;Code gelé;Code gelé (Dibenz(a,h)an);;;;;;;;;;;;;oui;133;microgramme par litre
1086;Sulfites;Validé;SO3--;Sulfites;Paramètres classés par classe;Chimique;Autres éléments minéraux;;;;;;;;;;oui;340;milligramme de sulfite par litre
1087;Thiocyanates;Validé;SCN-;Thiocyanates;Paramètres classés par classe;Chimique;Autres éléments minéraux;;;;;;;;;;oui;332;milligramme de thiocyanate par litre
1088;Matière grasse;Validé;Mgrasse;Matière grasse;Paramètres classés par classe;Chimique;Indices globaux (AOX, DCO,…);;;;;;;;;;oui;162;milligramme par litre
1089;PCB 126;Validé;PCB 126;PCB126;Paramètres classés par classe;Chimique;Micropolluants organiques;PCB (arochlors), PCT, Dioxines, Furanes (PCDD, PCDF);;;;;;;;;oui;133;microgramme par litre
1090;PCB 169;Validé;PCB 169;PCB169;Paramètres classés par classe;Chimique;Micropolluants organiques;PCB (arochlors), PCT, Dioxines, Furanes (PCDD, PCDF);;;;;;;;;oui;133;microgramme par litre
1091;PCB 77;Validé;PCB 77;PCB77;Paramètres classés par classe;Chimique;Micropolluants organiques;PCB (arochlors), PCT, Dioxines, Furanes (PCDD, PCDF);;;;;;;;;oui;133;microgramme par litre
1092;Prosulfocarbe;Validé;Prosulfoca;Prosulfocarbe;Paramètres classés par classe;Chimique;Micropolluants organiques;Carbamates;Paramètres classés par usage;Phytosanitaires;Herbicides;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole_Liste_A;oui;133;microgramme par litre
1093;Thiodicarbe;Validé;Thiodicarb;Thiodicarbe;Paramètres classés par classe;Chimique;Micropolluants organiques;Carbamates;Paramètres classés par usage;Phytosanitaires;"Insecticides; Molluscicides";;;;;;oui;133;microgramme par litre
1094;Lambda-cyhalothrine;Validé;LdaCihalo;Lambda-cyhalothrine;Paramètres classés par classe;Chimique;Micropolluants organiques;Pyréthrino;Paramètres classés par usage;Phytosanitaires;Insecticides;;;;;;oui;133;microgramme par litre
1095;Demande Biochimique en Oxygène en 5 jours après décantation 2h (DBO5 ad2);Validé;DBO5 ad2;DBO5 ad2 ;Paramètres classés par classe;Chimique;Indices globaux (AOX, DCO,…);;;;;;;;;;oui;175;milligramme d'oxygène par litre
1096;Demande Chimique en Oxygène après décantation 2 heures;Validé;DCO ad2;DCO ad2;Paramètres classés par classe;Chimique;Indices globaux (AOX, DCO,…);;;;;;;;;;oui;175;milligramme d'oxygène par litre
1097;Code gelé en 1999 (Carbone Organique Particulaire);Gelé;Code gelé;Code gelé (Carborgaparti);;;;;;;;;;;;;oui;163;milligramme de carbone par litre
1098;Volume;Validé;Volume;Volume;Paramètres classés par classe;Physique;;;;;;;;;;;oui;115;mètre cube
1099;Masse;Validé;Masse;Masse;Paramètres classés par classe;Physique;;;;;;;;;;;oui;67;kilogramme
1100;Acéphate;Validé;Acéphate;Acéphate;Paramètres classés par classe;Chimique;Micropolluants organiques;Organophosphorés;Paramètres classés par usage;Phytosanitaires;Insecticides;;;;;;oui;133;microgramme par litre
1101;Alachlore;Validé;Alachlore;Alachlore;Paramètres classés par classe;Chimique;Micropolluants organiques;Acétamides et méta;Paramètres classés par usage;Phytosanitaires;Herbicides;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole_Liste_A;oui;133;microgramme par litre
1102;Aldicarbe;Validé;Aldicarbe;Aldicarbe;Paramètres classés par classe;Chimique;Micropolluants organiques;Carbamates;Paramètres classés par usage;Phytosanitaires;"Acaricides; Insecticides; Nématicides";;;;;;oui;133;microgramme par litre
1103;Aldrine;Validé;Aldrine;Aldrine;Paramètres classés par classe;Chimique;Micropolluants organiques;Organochlorés;Paramètres classés par usage;Phytosanitaires;Insecticides;;;;;;oui;133;microgramme par litre
1104;Amétryne;Validé;Amétryne;Amétryne;Paramètres classés par classe;Chimique;Micropolluants organiques;Triazines et métabolites;Paramètres classés par usage;Phytosanitaires;Herbicides;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_DOM;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_DOM_Liste_A;oui;133;microgramme par litre
1105;Aminotriazole;Validé;Aminotriaz;Aminotriazole;Paramètres classés par classe;Chimique;Micropolluants organiques;Triazoles et imidaz;Paramètres classés par usage;Phytosanitaires;Herbicides;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photograph_Etat_Chimique_Eaux_Sout_Métropole_et_DOM;Par_Analyse_Photograph_Etat_Chimique_Eaux_Sout_Métropole_et_DOM_Liste_A;oui;133;microgramme par litre
1106;AOX;Validé;AOX;AOX;Paramètres classés par classe;Chimique;Indices globaux (AOX, DCO,…);;;;;;;;;;oui;134;microgramme de chlore par litre
1107;Atrazine;Validé;Atrazine;Atrazine;Paramètres classés par classe;Chimique;Micropolluants organiques;Triazines et métabolites;Paramètres classés par usage;Phytosanitaires;Herbicides;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Micropolluants_Analyse_Régulière_Etat_Chimique_Eaux_Sout;Micropolluants_Analyse_Régulière_Etat_Chimique_Eaux_Sout_Liste_A;oui;133;microgramme par litre
1108;Atrazine déséthyl;Validé;Atraz dés;Atrazine déséthyl;Paramètres classés par classe;Chimique;Micropolluants organiques;Triazines et métabolites;Paramètres classés par usage;Phytosanitaires;Métabol;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Micropolluants_Analyse_Régulière_Etat_Chimique_Eaux_Sout;Micropolluants_Analyse_Régulière_Etat_Chimique_Eaux_Sout_Liste_A;oui;133;microgramme par litre
1109;Atrazine déisopropyl;Validé;DIA;Atrazine déisopropyl;Paramètres classés par classe;Chimique;Micropolluants organiques;Triazines et métabolites;Paramètres classés par usage;Phytosanitaires;Métabol;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Micropolluants_Analyse_Régulière_Etat_Chimique_Eaux_Sout;Micropolluants_Analyse_Régulière_Etat_Chimique_Eaux_Sout_Liste_A;oui;133;microgramme par litre
1110;Azinphos éthyl;Validé;AzinphosE;Azinphos éthyl;Paramètres classés par classe;Chimique;Micropolluants organiques;Organophosphorés;Paramètres classés par usage;Phytosanitaires;"Acaricides; Insecticides";;;;;;oui;133;microgramme par litre
1111;Azinphos méthyl;Validé;AzinphosM;Azinphos méthyl;Paramètres classés par classe;Chimique;Micropolluants organiques;Organophosphorés;Paramètres classés par usage;Phytosanitaires;Insecticides;;;;;;oui;133;microgramme par litre
1112;Benfluraline;Validé;Benflural.;Benfluraline;Paramètres classés par classe;Chimique;Micropolluants organiques;Anilines et dérivés;Paramètres classés par usage;Phytosanitaires;Herbicides;;;;;;oui;133;microgramme par litre
1113;Bentazone;Validé;Bentazone;Bentazone;Paramètres classés par classe;Chimique;Micropolluants organiques;Divers (autres organiques);Paramètres classés par usage;Phytosanitaires;Herbicides;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;"Micropolluants_Analyse_Régulière_Etat_Chimique_Eaux_Sout; Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_DOM";"Micropolluants_Analyse_Régulière_Etat_Chimique_Eaux_Sout_Liste_A; Micropolluants_Analyse_Régulière_Etat_Chimique_Eaux_Sout_Pesticide; Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_DOM_Liste_A";oui;133;microgramme par litre
1114;Benzène;Validé;Benzène;Benzène;Paramètres classés par classe;Chimique;Micropolluants organiques;Benzène et dérivés;;;;;;;;;oui;133;microgramme par litre
1115;Benzo(a)pyrène;Validé;Benzo(a)py;Benzo(a)pyrène;Paramètres classés par classe;Chimique;Micropolluants organiques;HAP (Hydrocarbures aromatiques, polycycliques, pyrolytiques et dérivés);;;;;;;;;oui;133;microgramme par litre
1116;Benzo(b)fluoranthène;Validé;Benzo(b)fl;Benzo(b)fluoranthène;Paramètres classés par classe;Chimique;Micropolluants organiques;HAP (Hydrocarbures aromatiques, polycycliques, pyrolytiques et dérivés);;;;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole_Liste_A;oui;133;microgramme par litre
1117;Benzo(k)fluoranthène;Validé;Benzo(k)fl;Benzo(k)fluoranthène;Paramètres classés par classe;Chimique;Micropolluants organiques;HAP (Hydrocarbures aromatiques, polycycliques, pyrolytiques et dérivés);;;;;;;;;oui;133;microgramme par litre
1118;Benzo(g,h,i)pérylène;Validé;Benz(ghi)P;Benzo(g,h,i)pérylène;Paramètres classés par classe;Chimique;Micropolluants organiques;HAP (Hydrocarbures aromatiques, polycycliques, pyrolytiques et dérivés);;;;;;;;;oui;133;microgramme par litre
1119;Bifénox;Validé;Bifénox;Bifénox;Paramètres classés par classe;Chimique;Micropolluants organiques;Divers (autres organiques);Paramètres classés par usage;Phytosanitaires;Herbicides;;;;;;oui;133;microgramme par litre
1120;Bifenthrine;Validé;Bifenthrin;Bifenthrine;Paramètres classés par classe;Chimique;Micropolluants organiques;Pyréthrino;Paramètres classés par usage;Phytosanitaires;"Acaricides; Insecticides";;;;;;oui;133;microgramme par litre
1121;Bromochlorométhane;Validé;BrClMét.;Bromochlorométhane;Paramètres classés par classe;Chimique;Micropolluants organiques;COHV, solvants chlorés, fréons;;;;;;;;;oui;133;microgramme par litre
1122;Bromoforme;Validé;Bromoforme;Bromoforme;Paramètres classés par classe;Chimique;Micropolluants organiques;COHV, solvants chlorés, fréons;;;;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photograph_Etat_Chimique_Eaux_Sout_Métropole_et_DOM;Par_Analyse_Photograph_Etat_Chimique_Eaux_Sout_Métropole_et_DOM_Liste_A;oui;133;microgramme par litre
1123;Bromophos éthyl;Validé;Bromoph. E;Bromophos éthyl;Paramètres classés par classe;Chimique;Micropolluants organiques;Organophosphorés;Paramètres classés par usage;Phytosanitaires;Insecticides;;;;;;oui;133;microgramme par litre
1124;Bromophos méthyl;Validé;Bromoph. M;Bromophos Méthyl;Paramètres classés par classe;Chimique;Micropolluants organiques;Organophosphorés;Paramètres classés par usage;Phytosanitaires;Insecticides;;;;;;oui;133;microgramme par litre
1125;Bromoxynil;Validé;Bromoxynil;Bromoxynil;Paramètres classés par classe;Chimique;Micropolluants organiques;Divers (autres organiques);Paramètres classés par usage;Phytosanitaires;Herbicides;;;;;;oui;133;microgramme par litre
1126;Butraline;Validé;Butraline;Butraline;Paramètres classés par classe;Chimique;Micropolluants organiques;Anilines et dérivés;Paramètres classés par usage;Phytosanitaires;"Herbicides; Régulateurs de croissances";;;;;;oui;133;microgramme par litre
1127;Captafol;Validé;Captafol;Captafol;Paramètres classés par classe;Chimique;Micropolluants organiques;Amides (hors acéta);Paramètres classés par usage;Phytosanitaires;Fongicides;;;;;;oui;133;microgramme par litre
1128;Captane;Validé;Captane;Captane;Paramètres classés par classe;Chimique;Micropolluants organiques;Amides (hors acéta);Paramètres classés par usage;Phytosanitaires;Fongicides;;;;;;oui;133;microgramme par litre
1129;Carbendazime;Validé;Carbendaz.;Carbendazime;Paramètres classés par classe;Chimique;Micropolluants organiques;Carbamates;Paramètres classés par usage;Phytosanitaires;Fongicides;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photograph_Etat_Chimique_Eaux_Sout_Métropole_et_DOM;Par_Analyse_Photograph_Etat_Chimique_Eaux_Sout_Métropole_et_DOM_Liste_A_et_B;oui;133;microgramme par litre
1130;Carbofuran;Validé;Carbofuran;Carbofuran;Paramètres classés par classe;Chimique;Micropolluants organiques;Carbamates;Paramètres classés par usage;Phytosanitaires;"Insecticides; Nématicides";;;;;;oui;133;microgramme par litre
1131;Carbophénothion;Validé;Carbophéno;Carbophénothion;Paramètres classés par classe;Chimique;Micropolluants organiques;Organophosphorés;Paramètres classés par usage;Phytosanitaires;"Acaricides; Insecticides";;;;;;oui;133;microgramme par litre
1132;Chlordane;Validé;Chlordane;Chlordane;Paramètres classés par classe;Chimique;Micropolluants organiques;Organochlorés;Paramètres classés par usage;Phytosanitaires;Insecticides;;;;;;oui;133;microgramme par litre
1133;Chloridazone;Validé;Chloridazo;Chloridazone;Paramètres classés par classe;Chimique;Micropolluants organiques;Divers (autres organiques);Paramètres classés par usage;Phytosanitaires;Herbicides;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole_Liste_A;oui;133;microgramme par litre
1134;Chlorméphos;Validé;Chlorméph.;Chlorméphos;Paramètres classés par classe;Chimique;Micropolluants organiques;Organophosphorés;Paramètres classés par usage;Phytosanitaires;Insecticides;;;;;;oui;133;microgramme par litre
1135;Chloroforme;Validé;CHCl3;Chloroforme;Paramètres classés par classe;Chimique;Micropolluants organiques;COHV, solvants chlorés, fréons;;;;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photograph_Etat_Chimique_Eaux_Sout_Métropole_et_DOM;Par_Analyse_Photograph_Etat_Chimique_Eaux_Sout_Métropole_et_DOM_Liste_A;oui;133;microgramme par litre
1136;Chlortoluron;Validé;Chlortolu;Chlortoluron;Paramètres classés par classe;Chimique;Micropolluants organiques;Urées et métabolites;Paramètres classés par usage;Phytosanitaires;Herbicides;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole_Liste_A;oui;133;microgramme par litre
1137;Cyanazine;Validé;Cyanazine;Cyanazine;Paramètres classés par classe;Chimique;Micropolluants organiques;Triazines et métabolites;Paramètres classés par usage;Phytosanitaires;Herbicides;;;;;;oui;133;microgramme par litre
1138;Cyhalothrine;Validé;Cyhalothri;Cyhalothrine;Paramètres classés par classe;Chimique;Micropolluants organiques;Pyréthrino;Paramètres classés par usage;Phytosanitaires;Insecticides;;;;;;oui;133;microgramme par litre
1139;Cymoxanil;Validé;Cymoxanil;Cymoxanil;Paramètres classés par classe;Chimique;Micropolluants organiques;Acétamides et méta;Paramètres classés par usage;Phytosanitaires;Fongicides;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole_Liste_A;oui;133;microgramme par litre
1140;Cyperméthrine;Validé;Cyperméth.;Cyperméthrine;Paramètres classés par classe;Chimique;Micropolluants organiques;Pyréthrino;Paramètres classés par usage;Phytosanitaires;Insecticides;;;;;;oui;133;microgramme par litre
1141;2,4-D;Validé;24D;2,4-D;Paramètres classés par classe;Chimique;Micropolluants organiques;Phénoxya;Paramètres classés par usage;Phytosanitaires;Herbicides;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photograph_Etat_Chimique_Eaux_Sout_Métropole_et_DOM;Par_Analyse_Photograph_Etat_Chimique_Eaux_Sout_Métropole_et_DOM_Liste_A;oui;133;microgramme par litre
1142;2,4-DB;Validé;24DB;2,4-DB;Paramètres classés par classe;Chimique;Micropolluants organiques;Phénoxya;Paramètres classés par usage;Phytosanitaires;Herbicides;;;;;;oui;133;microgramme par litre
1143;DDD 24';Validé;DDD 24';DDD 24';Paramètres classés par classe;Chimique;Micropolluants organiques;Organochlorés;Paramètres classés par usage;Phytosanitaires;Insecticides;;;;;;oui;133;microgramme par litre
1144;DDD 44';Validé;DDD 44';DDD 44';Paramètres classés par classe;Chimique;Micropolluants organiques;Organochlorés;Paramètres classés par usage;Phytosanitaires;Insecticides;;;;;;oui;133;microgramme par litre
1145;DDE 24';Validé;DDE 24';DDE 24';Paramètres classés par classe;Chimique;Micropolluants organiques;Organochlorés;Paramètres classés par usage;Phytosanitaires;Insecticides;;;;;;oui;133;microgramme par litre
1146;DDE 44';Validé;DDE 44';DDE 44';Paramètres classés par classe;Chimique;Micropolluants organiques;Organochlorés;Paramètres classés par usage;Phytosanitaires;Insecticides;;;;;;oui;133;microgramme par litre
1147;DDT 24';Validé;DDT 24';DDT 24';Paramètres classés par classe;Chimique;Micropolluants organiques;Organochlorés;Paramètres classés par usage;Phytosanitaires;Insecticides;;;;;;oui;133;microgramme par litre
1148;DDT 44';Validé;DDT 44';DDT 44';Paramètres classés par classe;Chimique;Micropolluants organiques;Organochlorés;Paramètres classés par usage;Phytosanitaires;Insecticides;;;;;;oui;133;microgramme par litre
