CODE_PARAMETRE;NOM_PARAMETRE;STATUT_PARAMETRE;NOM_PARAMETRE_COURT;NOM_PARAMETRE_LONG;CLASSE_1;CLASSE_2;CLASSE_3;CLASSE_4;USAGE_1;USAGE_2;USAGE_3;USAGE_4;REGLEMENT_1;REGLEMENT_2;REGLEMENT_3;REGLEMENT_4;PARAMETRE_ADES;CODE_UNITE_ADES;LIBELLE_UNITE_ADES
1717;Thiophanate-méthyl;Validé;Thioph-mét;Thiophanate-méthyl;Paramètres classés par classe;Chimique;Micropolluants organiques;Carbamates;Paramètres classés par usage;Phytosanitaires;Fongicides;;;;;;oui;133;microgramme par litre
1718;Thirame;Validé;Thirame;Thirame;Paramètres classés par classe;Chimique;Micropolluants organiques;Carbamates;Paramètres classés par usage;Phytosanitaires;Fongicides;;;;;;oui;133;microgramme par litre
1719;Tolylfluanide;Validé;Tolylfluan;Tolylfluanide;Paramètres classés par classe;Chimique;Micropolluants organiques;Amides (hors acéta);Paramètres classés par usage;Phytosanitaires;Fongicides;;;;;;oui;133;microgramme par litre
1720;Trichloronat;Validé;Trichloron;Trichloronat;Paramètres classés par classe;Chimique;Micropolluants organiques;Organophosphorés;Paramètres classés par usage;Phytosanitaires;Insecticides;;;;;;oui;133;microgramme par litre
1721;Zinèbe;Validé;Zinèbe;Zinèbe;Paramètres classés par classe;Chimique;Organométalliques;;Paramètres classés par usage;Phytosanitaires;Fongicides;;;;;;oui;133;microgramme par litre
1722;Zirame;Validé;Zirame;Zirame;Paramètres classés par classe;Chimique;Organométalliques;;Paramètres classés par usage;Phytosanitaires;"Fongicides; Répuls";;;;;;oui;133;microgramme par litre
1723;Trichlorophénol-3,4,5;Validé;345 TCphén;Trichlorophénol-3,4,5;Paramètres classés par classe;Chimique;Micropolluants organiques;Autres phénols;;;;;;;;;oui;133;microgramme par litre
1727;Dichloroéthylène-1,2 trans;Validé;12DCEtn T;Dichloroéthène-1,2 trans;Paramètres classés par classe;Chimique;Micropolluants organiques;COHV, solvants chlorés, fréons;;;;;;;;;oui;133;microgramme par litre
1728;Indice Arochlore 1016;Validé;PCBs A1016;PCBs A1016;Paramètres classés par classe;Chimique;Micropolluants organiques;PCB (arochlors), PCT, Dioxines, Furanes (PCDD, PCDF);;;;;;;;;oui;133;microgramme par litre
1729;Indice Arochlore 1221;Validé;PCBs A1221;PCBs A1221;Paramètres classés par classe;Chimique;Micropolluants organiques;PCB (arochlors), PCT, Dioxines, Furanes (PCDD, PCDF);;;;;;;;;oui;133;microgramme par litre
1730;Indice Arochlore 1232;Validé;PCBs A1232;PCBs A1232;Paramètres classés par classe;Chimique;Micropolluants organiques;PCB (arochlors), PCT, Dioxines, Furanes (PCDD, PCDF);;;;;;;;;oui;133;microgramme par litre
1731;Indice Arochlore 1248;Validé;PCBs A1248;PCBs A1248;Paramètres classés par classe;Chimique;Micropolluants organiques;PCB (arochlors), PCT, Dioxines, Furanes (PCDD, PCDF);;;;;;;;;oui;133;microgramme par litre
1732;Benzo(a)fluorène;Validé;B12flu;Benzo(a)fluorène;Paramètres classés par classe;Chimique;Micropolluants organiques;HAP (Hydrocarbures aromatiques, polycycliques, pyrolytiques et dérivés);;;;;;;;;oui;133;microgramme par litre
1733;Benzo(j)fluoranthène;Validé;Benzo(j)fl;Benzo(j)fluoranthène;Paramètres classés par classe;Chimique;Micropolluants organiques;HAP (Hydrocarbures aromatiques, polycycliques, pyrolytiques et dérivés);;;;;;;;;oui;133;microgramme par litre
1734;Bromochloroacétonitrile;Validé;BClA;Bromochloroacétonitrile;Paramètres classés par classe;Chimique;Micropolluants organiques;COHV, solvants chlorés, fréons;;;;;;;;;oui;133;microgramme par litre
1735;Chlorites;Validé;ClO2-;Chlorites;Paramètres classés par classe;Chimique;Autres éléments minéraux;;;;;;;;;;oui;295;microgramme de chlorite par litre
1736;Chlorométhane;Validé;ClM;Chlorométhane;Paramètres classés par classe;Chimique;Micropolluants organiques;COHV, solvants chlorés, fréons;;;;;;;;;oui;133;microgramme par litre
1737;Code gelé en 2000 (Dibromo-1,2 chloropropane-3);Gelé;Code gelé;Code gelé (Dibro1,2Chlo3);;;;;;;;;;;;;oui;133;microgramme par litre
1738;Dibromoacétonitrile;Validé;DBA;Dibromoacétonitrile;Paramètres classés par classe;Chimique;Micropolluants organiques;COHV, solvants chlorés, fréons;;;;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photograph_Etat_Chimique_Eaux_Sout_Métropole_et_DOM;Par_Analyse_Photograph_Etat_Chimique_Eaux_Sout_Métropole_et_DOM_Liste_B;oui;133;microgramme par litre
1739;Teinte de l'eau;Validé;Teinte;Teinte de l'eau;Paramètres classés par classe;Physique;;;;;;;;;;;oui;X;Sans objet
1740;Dichloroacétonitrile;Validé;DCA;Dichloroacétonitrile;Paramètres classés par classe;Chimique;Micropolluants organiques;Organochlorés;;;;;;;;;oui;133;microgramme par litre
1741;Code gelé en 2003 (Dichlorobenzidine-3,3');Gelé;DCB;Dichlorobenzidine-3,3';;;;;;;;;;;;;oui;133;microgramme par litre
1742;Endosulfan sulfate;Validé;Endos. S;Endosulfan sulfate;Paramètres classés par classe;Chimique;Micropolluants organiques;Organochlorés;Paramètres classés par usage;Phytosanitaires;"Acaricides; Insecticides";;;;;;oui;133;microgramme par litre
1743;Endosulfan;Validé;Endosulfan;Endosulfan;Paramètres classés par classe;Chimique;Micropolluants organiques;Organochlorés;Paramètres classés par usage;Phytosanitaires;"Acaricides; Insecticides";;;;;;oui;133;microgramme par litre
1744;Epoxiconazole;Validé;Epoxcz;Epoxiconazole;Paramètres classés par classe;Chimique;Micropolluants organiques;Triazines et métabolites;Paramètres classés par usage;Phytosanitaires;Fongicides;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole_Liste_A;oui;133;microgramme par litre
1745;Ethanol;Validé;Ethanol;Ethanol;Paramètres classés par classe;Chimique;Micropolluants organiques;Alcools et polyols;;;;;;;;;oui;133;microgramme par litre
1746;Ozone;Validé;O3;Ozone;Paramètres classés par classe;Chimique;Autres éléments minéraux;;;;;;;;;;oui;133;microgramme par litre
1747;Test daphnie en 48 h;Validé;ToxD48;Test daphnie en 48 h;Paramètres classés par classe;Biologique;Microbiologique;;Paramètres classés par usage;Ecotox;;;;;;;oui;243;pourcentage
1748;Heptachlore époxyde exo cis;Validé;HepClEpox;Heptachlo epoxyde exo cis;Paramètres classés par classe;Chimique;Micropolluants organiques;Organochlorés;Paramètres classés par usage;Phytosanitaires;Insecticides;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_DOM;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_DOM_Liste_A;oui;133;microgramme par litre
1749;Heptachlore époxyde endo trans;Validé;HepEpox T;Heptachlore époxyde endo;Paramètres classés par classe;Chimique;Micropolluants organiques;Organochlorés;Paramètres classés par usage;Phytosanitaires;Insecticides;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_DOM;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_DOM_Liste_A;oui;133;microgramme par litre
1750;Matière sèche à 180°C;Validé;Mat.S180;Matière sèche à 180°C;Paramètres classés par classe;Chimique;Indices globaux (AOX, DCO,…);;;;;;;;;;oui;162;milligramme par litre
1751;Bromates;Validé;BrO3-;Bromates;Paramètres classés par classe;Chimique;Autres éléments minéraux;;;;;;;;;;oui;290;microgramme de bromate par litre
1752;Chlorates;Validé;ClO3-;Chlorates;Paramètres classés par classe;Chimique;Autres éléments minéraux;;;;;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photograph_Etat_Chimique_Eaux_Sout_Métropole_et_DOM;Par_Analyse_Photograph_Etat_Chimique_Eaux_Sout_Métropole_et_DOM_Liste_A;oui;296;microgramme de chlorate par litre
1753;Chlorure de vinyle;Validé;Chl. vinyl;Chlorure de vinyle;Paramètres classés par classe;Chimique;Micropolluants organiques;COHV, solvants chlorés, fréons;;;;;;;;;oui;133;microgramme par litre
1754;Dioxyde de chlore;Validé;ClO2;Dioxyde de chlore;Paramètres classés par classe;Chimique;Autres éléments minéraux;;;;;;;;;;oui;133;microgramme par litre
1755;Chlore combiné;Validé;Cl2 comb.;Chlore combiné;Paramètres classés par classe;Chimique;Autres éléments minéraux;;;;;;;;;;oui;165;milligramme de dichlore par litre
1756;Chlordane alpha;Gelé;ChlordaneA;Chlordane alpha;;;;;;;;;;;;;oui;133;microgramme par litre
1757;Chlordane béta;Validé;ChlordaneB;Chlordane béta;Paramètres classés par classe;Chimique;Micropolluants organiques;Organochlorés;Paramètres classés par usage;Phytosanitaires;Insecticides;;;;;;oui;133;microgramme par litre
1758;Chlordane gamma;Validé;ChlordaneG;Chlordane gamma;Paramètres classés par classe;Chimique;Micropolluants organiques;Organochlorés;Paramètres classés par usage;Phytosanitaires;Insecticides;;;;;;oui;133;microgramme par litre
1759;Amiante;Validé;Amiante;Amiante;Paramètres classés par classe;Chimique;Autres éléments minéraux;;;;;;;;;;oui;216;nombre de fibres par litre
1760;EOX;Validé;EOX;EOX;Paramètres classés par classe;Chimique;Indices globaux (AOX, DCO,…);;;;;;;;;;oui;134;microgramme de chlore par litre
1761;Code gelé en 2000 (Siccité);Gelé;Code gelé;Code gelé (Siccité);;;;;;;;;;;;;oui;243;pourcentage
1762;Penconazole;Validé;Penconazol;Penconazole;Paramètres classés par classe;Chimique;Micropolluants organiques;Triazines et métabolites;Paramètres classés par usage;Phytosanitaires;Fongicides;;;;;;oui;133;microgramme par litre
1763;Ethidimuron;Validé;Ethidimuro;Ethidimuron;Paramètres classés par classe;Chimique;Micropolluants organiques;Urées et métabolites;Paramètres classés par usage;Phytosanitaires;Herbicides;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole_Liste_A;oui;133;microgramme par litre
1764;Benthiocarbe;Validé;Benthiocar;Benthiocarbe;Paramètres classés par classe;Chimique;Micropolluants organiques;Carbamates;Paramètres classés par usage;Phytosanitaires;Herbicides;;;;;;oui;133;microgramme par litre
1765;Fluroxypyr;Validé;Fluroxypyr;Fluroxypyr;Paramètres classés par classe;Chimique;Micropolluants organiques;Divers (autres organiques);Paramètres classés par usage;Phytosanitaires;Herbicides;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole_Liste_A;oui;133;microgramme par litre
1766;Code gelé en 1998 (Parathion total);Gelé;Code gelé;Code gelé (Parathiontota);;;;;;;;;;;;;oui;133;microgramme par litre
1767;Code gelé en 1998 (Chloroaniline total);Gelé;Code gelé;Code gelé (Chloroanitota);;;;;;;;;;;;;oui;133;microgramme par litre
1768;Code gelé en 1998 (Chloronitrobenzène total);Gelé;Code gelé;Code gelé (Chloronitrobe);;;;;;;;;;;;;oui;133;microgramme par litre
1769;Dichlorure de dibutylétain;Validé;DBT Cl2;Dibutylétain Dichlorure;Paramètres classés par classe;Chimique;Organométalliques;;;;;;;;;;oui;133;microgramme par litre
1770;Oxyde de dibutylétain;Validé;DBT Oxyde;Dibutylétain oxyde;Paramètres classés par classe;Chimique;Organométalliques;;;;;;;;;;oui;133;microgramme par litre
1771;Dihydrure de dibutylétain;Gelé;DibutSn;Dibutylétain;;;;;;;;;;;;;oui;133;microgramme par litre
1772;Code gelé en 1998 (Dichlorophénol total);Gelé;Code gelé;Code gelé (Dichlorophéno);;;;;;;;;;;;;oui;133;microgramme par litre
1773;Oxyde de tributylétain;Validé;TBT Oxyde;Tributylétain oxyde;Paramètres classés par classe;Chimique;Organométalliques;;;;;;;;;;oui;133;microgramme par litre
1774;Somme des Trichlorobenzenes;Validé;SomTriClBz;Trichlorobenzene total;Paramètres classés par classe;Chimique;Micropolluants organiques;Chlorobenzène et mono-aromatiques halogénés;;;;;;;;;oui;133;microgramme par litre
1775;Code gelé en 1998 (Trichlorophénol total);Gelé;Code gelé;Code gelé (Trichlorophén);;;;;;;;;;;;;oui;133;microgramme par litre
1776;Code gelé en 2005 (Acétate de triphénylétain);Gelé;Code gelé;Code gelé (Acétate);;;;;;;;;;;;;oui;133;microgramme par litre
